Unnamed: 0,Address,tinh,tinh_cat,qh,qh_cat,px,px_cat,duong,Address_ch,street,ward,district,province,normalized_address
116,tòa d chung cư imperia garden 203 nguyễn huy tưởng,,,,,,,,,tòa d chung cư imperia garden 203 nguyễn huy tưởng,,,,tòa d chung cư imperia garden 203 nguyễn huy tưởng
117,the sun avenue,,,,,,,,,the sun avenue,,,,the sun avenue
118,quận 2,,,,,,,,,quận 2,,,,quận 2
119,89 thịnh liệt,,,,,,,,,89 thịnh liệt,,,,89 thịnh liệt
120,vinhomes gardenia,,,,,,,,,vinhomes gardenia,,,,vinhomes gardenia
121,khu đô thị mới nam cần thơ,,,,,,,,,khu đô thị mới nam,,,Cần Thơ,"khu đô thị mới nam, Cần Thơ"
122,"số 74 - 75 đường mai chí thọ , phường phú thứ , cái răng , cần thơ",,,,,,,,,số 74 75 đường mai chí thọ phường phú thứ cái răng,,,Cần Thơ,"số 74 75 đường mai chí thọ phường phú thứ cái răng, Cần Thơ"
123,"chung cư d2 , quận ba đình - trung tâm hà nội",,,,,,,,,chung cư d2 quận ba đình trung tâm hà nội,,,,chung cư d2 quận ba đình trung tâm hà nội
124,mega ruby,,,,,,,,,mega ruby,,,,mega ruby
125,"dự án mega ruby , khang điền",,,,,,,,,dự án mega ruby khang điền,,,,dự án mega ruby khang điền
126,"nhà số 13 / 3a , đường bình chuẩn 09 , kp bình quới b , phường bình chuẩn , thị xã thuận an , bình dương",,,,,,,,,nhà số 13 3a đường bình chuẩn 09 kp bình quới b phường bình chuẩn thị xã thuận an,,,Bình Dương,"nhà số 13 3a đường bình chuẩn 09 kp bình quới b phường bình chuẩn thị xã thuận an, Bình Dương"
127,"đường bình chuẩn 9 , phường bình chuẩn , thuận an , bình dương",,,,,,,,,đường bình chuẩn 9 phường bình chuẩn thuận an,,,Bình Dương,"đường bình chuẩn 9 phường bình chuẩn thuận an, Bình Dương"
128,"cụm cn phú thạnh , xã phú thạnh . huyện nhơn trạch tỉnh đồng nai",,,,,,,,,cụm cn phú thạnh   tỉnh,Xã Phú Thạnh,Huyện Nhơn Trạch,Đồng Nai,"cụm cn phú thạnh   tỉnh, Xã Phú Thạnh, Huyện Nhơn Trạch, Đồng Nai"
129,chung cư vinaconex - đường nguyễn xiển,,,,,,,,,chung cư vinaconex đường nguyễn xiển,,,,chung cư vinaconex đường nguyễn xiển
130,chung cư rivera park,,,,,,,,,chung cư rivera park,,,,chung cư rivera park
131,kdc the sun avenue quận 2,,,,,,,,,kdc the sun avenue quận 2,,,,kdc the sun avenue quận 2
132,lô e yên hòa,,,,,,,,,lô e yên hòa,,,,lô e yên hòa
133,chung cư an bình,,,,,,,,,chung cư an bình,,,,chung cư an bình
134,"tân uyên , bình dương",,,,,,,,,tân uyên,,,Bình Dương,"tân uyên, Bình Dương"
135,vinhomes grand park,,,,,,,,,vinhomes grand park,,,,vinhomes grand park
136,him lam phú an quận 9,,,,,,,,,him lam phú an quận 9,,,,him lam phú an quận 9
137,"khu kđt nguyễn văn lộc , hà đông",,,,,,,,,khu kđt nguyễn văn lộc hà đông,,,,khu kđt nguyễn văn lộc hà đông
138,kđt văn quán,,,,,,,,,kđt văn quán,,,,kđt văn quán
139,sunrise city,,,,,,,,,sunrise city,,,,sunrise city
140,"chung cư văn phòng quốc hội số 2 hoàng cầu , góc đường ngã tư hào nam đê la thành",,,,,,,,,chung cư văn phòng quốc hội số 2 hoàng cầu góc đường ngã tư hào nam đê la thành,,,,chung cư văn phòng quốc hội số 2 hoàng cầu góc đường ngã tư hào nam đê la thành
141,tháp 7 the sun avenue,,,,,,,,,tháp 7 the sun avenue,,,,tháp 7 the sun avenue
142,lò rèn,,,,,,,,,lò rèn,,,,lò rèn
143,chung cư hoàng long,,,,,,,,,chung cư hoàng long,,,,chung cư hoàng long
144,richmond city nguyễn xí bình thanh,,,,,,,,,richmond city nguyễn xí bình thanh,,,,richmond city nguyễn xí bình thanh
145,quận 1,,,,,,,,,quận 1,,,,quận 1
146,office 168 office space for lease,,,,,,,,,office 168 office space for lease,,,,office 168 office space for lease
147,"building 168 , số 4 nguyễn thị minh khai , phường đa kao , quận 1 , hcm",,,,,,,,,building 168 số 4 nguyễn thị minh khai phường đa kao quận 1 hcm,,,,building 168 số 4 nguyễn thị minh khai phường đa kao quận 1 hcm
148,"cao ốc đại thanh bình , 911 - 917 nguyễn trãi , phường 14 , quận 5 , hcm",,,,,,,,,cao ốc đại thanh bình 911 917 nguyễn trãi phường 14 quận 5 hcm,,,,cao ốc đại thanh bình 911 917 nguyễn trãi phường 14 quận 5 hcm
149,đường nguyễn cửu vân,,,,,,,,,đường nguyễn cửu vân,,,,đường nguyễn cửu vân
150,"chung cư tsq , kđt mỗ lao , hà đông , hà nội",,,,,,,,,chung cư tsq kđt mỗ lao hà đông hà nội,,,,chung cư tsq kđt mỗ lao hà đông hà nội
151,"lê đức thọ - mỹ đình 2 , nam từ liêm , hà nội",,,,,,,,,lê đức thọ mỹ đình 2 nam từ liêm hà nội,,,,lê đức thọ mỹ đình 2 nam từ liêm hà nội
152,"green field 686 , xô viết nghệ tĩnh , phường 25 , quận bình thạnh",,,,,,,,,green field 686 xô viết nghệ tĩnh phường 25 quận bình thạnh,,,,green field 686 xô viết nghệ tĩnh phường 25 quận bình thạnh
153,căn số 10,,,,,,,,,căn số 10,,,,căn số 10
154,river gate,,,,,,,,,river gate,,,,river gate
155,"mặt tiền mai chí thọ , phường an phú , quận 2",,,,,,,,,mặt tiền mai chí thọ phường an phú quận 2,,,,mặt tiền mai chí thọ phường an phú quận 2
156,"hà huy giáp , p . thạnh lộc , q12",,,,,,,,,hà huy giáp p thạnh lộc q12,,,,hà huy giáp p thạnh lộc q12
157,"p245 , bình thành",,,,,,,,,p245 bình thành,,,,p245 bình thành
158,"đg d1 , p245 , bình thành",,,,,,,,,đg d1 p245 bình thành,,,,đg d1 p245 bình thành
159,"sunrise city view , quận 7 dự án novaland",,,,,,,,,sunrise city view quận 7 dự án novaland,,,,sunrise city view quận 7 dự án novaland
160,số 33 đường nguyễn hữu thọ,,,,,,,,,số 33 đường nguyễn hữu thọ,,,,số 33 đường nguyễn hữu thọ
161,mecoland 102 đường trường chinh,,,,,,,,,mecoland 102 đường trường chinh,,,,mecoland 102 đường trường chinh
162,river gate quận 4,,,,,,,,,river gate quận 4,,,,river gate quận 4
163,"orchard garden - 128 hồng hà , phường 9 , phú nhuận , hcm",,,,,,,,,orchard garden 128 hồng hà phường 9 phú nhuận hcm,,,,orchard garden 128 hồng hà phường 9 phú nhuận hcm
164,sarimi,,,,,,,,,sarimi,,,,sarimi
165,"chung cư đất phương nam , đường chu văn an , p12 , q . bình thạnh",,,,,,,,,chung cư đất phương nam đường chu văn an p12 q bình thạnh,,,,chung cư đất phương nam đường chu văn an p12 q bình thạnh
166,"nhà số 90 đường số 2 , cư xá đô thành , p4 , quận 3",,,,,,,,,nhà số 90 đường số 2 cư xá đô thành p4 quận 3,,,,nhà số 90 đường số 2 cư xá đô thành p4 quận 3
167,phố ẩm thực cấm chỉ - tống duy tân,,,,,,,,,phố ẩm thực cấm chỉ tống duy tân,,,,phố ẩm thực cấm chỉ tống duy tân
168,"ngõ 120 phố yên lãng , đống đa",,,,,,,,,ngõ 120 phố yên lãng đống đa,,,,ngõ 120 phố yên lãng đống đa
169,"907 / 1a trần hưng đạo , phường 1 . quận 5",,,,,,,,,907 1a trần hưng đạo phường 1 quận 5,,,,907 1a trần hưng đạo phường 1 quận 5
